# LF_DEM version v3.0-126-gb72fb1a
# np 1000
# VF 0.76
# Lx 73.993
# Ly 0
# Lz 73.993
# flow_type shear
# data in cl units.
#1: time
#2: cumulated strain
#3: shear rate
#4-9: total stress tensor (xx, xy, xz, yz, yy, zz)
#10-15: contact stress tensor (xx, xy, xz, yz, yy, zz)
#16-21: dashpot stress tensor (xx, xy, xz, yz, yy, zz)
#22-27: hydro stress tensor (xx, xy, xz, yz, yy, zz)
#28-33: repulsion stress tensor (xx, xy, xz, yz, yy, zz)

3.48717 0.147258 0.0236403 -54.1469 0 20 0 0 -52.5351  -54.1656 0 19.7967 0 0 -52.5621  -0.0218574 0 0.0403184 0 0 -0.019194  0.0405182 0 0.162983 0 0 0.0461737  0 0 0 0 0 0  
3.58142 0.149429 0.0223072 -54.5243 0 20 0 0 -52.6285  -54.5477 0 19.8071 0 0 -52.6548  -0.0179428 0 0.0378466 0 0 -0.0177487  0.0413437 0 0.155066 0 0 0.0440925  0 0 0 0 0 0  
3.67566 0.151469 0.0213564 -54.6622 0 20 0 0 -52.8122  -54.6854 0 19.814 0 0 -52.8313  -0.0143019 0 0.0353107 0 0 -0.0166058  0.0375501 0 0.150661 0 0 0.0356652  0 0 0 0 0 0  
3.76991 0.153381 0.0196732 -54.7073 0 20 0 0 -52.9851  -54.7294 0 19.8284 0 0 -53.0052  -0.0123228 0 0.0327609 0 0 -0.0149029  0.0344348 0 0.138843 0 0 0.0349567  0 0 0 0 0 0  
3.86416 0.155213 0.0189233 -54.787 0 20 0 0 -53.0381  -54.8054 0 19.8342 0 0 -53.0544  -0.0133709 0 0.0315334 0 0 -0.016849  0.0317285 0 0.134289 0 0 0.0332388  0 0 0 0 0 0  
3.95841 0.157035 0.0194528 -54.9639 0 20 0 0 -53.1899  -54.9842 0 19.8262 0 0 -53.2129  -0.0139655 0 0.0328311 0 0 -0.016374  0.0342673 0 0.14101 0 0 0.0393282  0 0 0 0 0 0  
4.05265 0.15883 0.0189498 -55.0462 0 20 0 0 -53.4474  -55.0643 0 19.8303 0 0 -53.4669  -0.0134933 0 0.0330906 0 0 -0.0157248  0.0316263 0 0.136562 0 0 0.0351282  0 0 0 0 0 0  
4.1469 0.160657 0.0190782 -55.396 0 20 0 0 -53.5376  -55.4129 0 19.8292 0 0 -53.5529  -0.0133617 0 0.0340213 0 0 -0.01589  0.0303027 0 0.13674 0 0 0.0311552  0 0 0 0 0 0  
4.24115 0.162374 0.0172041 -55.3519 0 20 0 0 -53.5402  -55.3699 0 19.8445 0 0 -53.5589  -0.0126356 0 0.030376 0 0 -0.014568  0.0305781 0 0.125155 0 0 0.0333537  0 0 0 0 0 0  
4.3354 0.164031 0.0173473 -55.4934 0 20 0 0 -53.5306  -55.5138 0 19.842 0 0 -53.5535  -0.0107007 0 0.0296769 0 0 -0.0123913  0.0310974 0 0.128283 0 0 0.0352489  0 0 0 0 0 0  
